"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","484218","","","","0"
"2003","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","495954","","","","0"
"2004","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","508628","","","","0"
"2005","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","518734","","","","0"
"2006","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","528085","","","","0"
"2007","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","532323","","","","0"
"2008","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","532833","","","","0"
"2009","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","534240","","","","0"
"2010","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","532164","","","","0"
"2011","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","526032","","","","0"
"2012","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","518210","","","","0"
"2013","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","513369","","","","0"
"2014","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","509608","","","","0"
"2015","Quebec","2016A000224","Total - gender","25 to 29 years","Persons","249","units","0","v468351","6.1.37","510593","","","","0"
